# run_id,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12,param_13,cost
0.000000,2.476804,-1.781947,0.647382,-1.817965,-2.937947,0.775680,0.389584,-1.460460,0.204308,-1.919800,-2.481233,-0.860702,1.365774,-0.037248,-8.990000
0.000000,1.476804,-0.781947,0.647382,-1.817965,-2.937947,0.775680,0.389584,-1.460460,0.204308,-1.919800,-2.481233,-0.860702,1.365774,-0.037248,-8.450000
0.000000,1.476804,-1.781947,1.647382,-1.817965,-2.937947,0.775680,0.389584,-1.460460,0.204308,-1.919800,-2.481233,-0.860702,1.365774,-0.037248,-8.030000
0.000000,1.476804,-1.781947,0.647382,-0.817965,-2.937947,0.775680,0.389584,-1.460460,0.204308,-1.919800,-2.481233,-0.860702,1.365774,-0.037248,-9.060000
0.000000,1.476804,-1.781947,0.647382,-1.817965,-1.937947,0.775680,0.389584,-1.460460,0.204308,-1.919800,-2.481233,-0.860702,1.365774,-0.037248,-9.520000
0.000000,1.476804,-1.781947,0.647382,-1.817965,-1.937947,1.775680,0.389584,-1.460460,0.204308,-1.919800,-2.481233,-0.860702,1.365774,-0.037248,-9.460000
0.000000,1.476804,-1.781947,0.647382,-1.817965,-1.937947,1.775680,1.389584,-1.460460,0.204308,-1.919800,-2.481233,-0.860702,1.365774,-0.037248,-9.450000
0.000000,1.476804,-1.781947,0.647382,-1.817965,-1.937947,1.775680,0.389584,-0.460460,0.204308,-1.919800,-2.481233,-0.860702,1.365774,-0.037248,-10.210000
0.000000,1.476804,-1.781947,0.647382,-1.817965,-1.937947,1.775680,0.389584,-0.460460,1.204308,-1.919800,-2.481233,-0.860702,1.365774,-0.037248,-10.270000
0.000000,1.476804,-1.781947,0.647382,-1.817965,-1.937947,1.775680,0.389584,-0.460460,1.204308,-0.919800,-2.481233,-0.860702,1.365774,-0.037248,-9.790000
0.000000,1.476804,-1.781947,0.647382,-1.817965,-1.937947,1.775680,0.389584,-0.460460,1.204308,-1.919800,-1.481233,-0.860702,1.365774,-0.037248,-10.500000
0.000000,1.476804,-1.781947,0.647382,-1.817965,-1.937947,1.775680,0.389584,-0.460460,1.204308,-1.919800,-1.481233,0.139298,1.365774,-0.037248,-10.190000
0.000000,1.476804,-1.781947,0.647382,-1.817965,-1.937947,1.775680,0.389584,-0.460460,1.204308,-1.919800,-1.481233,-0.860702,2.365774,-0.037248,-10.980000
0.000000,1.476804,-1.781947,0.647382,-1.817965,-1.937947,1.775680,0.389584,-0.460460,1.204308,-1.919800,-1.481233,-0.860702,2.365774,0.962752,-10.570000
0.000000,1.286963,-2.030202,0.428334,-1.854473,-1.726200,2.060442,0.280060,-0.321730,1.642405,-2.321389,-1.335201,-1.116258,2.723553,-0.395026,-10.750000
0.000000,1.024768,-1.781947,0.647382,-1.817965,-1.937947,1.775680,0.389584,-0.460460,1.204308,-1.706111,-1.481233,-0.860702,2.365774,-0.037248,-11.010000
0.000000,1.961222,-1.874040,0.566124,-1.831508,-1.859397,1.881316,0.348954,-0.408996,1.366826,-1.110554,-1.427061,-0.955504,2.498496,-0.169970,-11.040000
0.000000,1.476804,-1.451136,0.272463,-1.817965,-1.937947,1.775680,0.389584,-0.460460,1.204308,-1.919800,-1.481233,-0.860702,2.365774,-0.037248,-11.090000
0.000000,1.560730,-1.094914,1.316715,-1.829799,-1.869311,1.867983,0.354082,-0.415492,1.346313,-1.930551,-1.433898,-0.943538,2.481745,-0.153218,-11.010000
